[03Feb2025 00:00:03.791] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: STRANJO[/100.94.65.49:50544] logged in with entity id 1290 at (957.7885971840542, 120.0, -429.7243566817112)
[03Feb2025 00:00:04.446] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: STRANJO joined the game
[03Feb2025 00:00:04.640] [Server thread/INFO] [net.nicguzzo.wands.WandsMod/]: PLAYER_JOIN
[03Feb2025 00:00:04.641] [Server thread/INFO] [net.nicguzzo.wands.WandsMod/]: add_player wand
[03Feb2025 00:00:04.668] [Server thread/INFO] [net.nicguzzo.wands.WandsMod/]: config sent
[03Feb2025 00:00:21.419] [Server thread/INFO] [Jade/]: Syncing config to STRANJO (2e6e150c-8207-3118-accc-8edfd2b8dd5b)
[03Feb2025 00:00:23.134] [Server thread/WARN] [net.minecraft.server.MinecraftServer/]: Can't keep up! Is the server overloaded? Running 19461ms or 389 ticks behind
[03Feb2025 00:05:34.912] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=883, y=122, z=-433} BlockPos{x=883, y=120, z=-434}
[03Feb2025 00:20:31.354] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=120, z=-413} BlockPos{x=923, y=119, z=-413}
[03Feb2025 00:20:31.398] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=120, z=-413} BlockPos{x=923, y=119, z=-413}
[03Feb2025 00:28:04.500] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=949, y=120, z=-403} BlockPos{x=949, y=121, z=-403}
[03Feb2025 00:28:04.552] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=949, y=119, z=-404} BlockPos{x=949, y=121, z=-403}
[03Feb2025 00:28:04.602] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=950, y=119, z=-404} BlockPos{x=949, y=121, z=-403}
[03Feb2025 00:28:59.100] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=970, y=124, z=-402} BlockPos{x=969, y=125, z=-402}
[03Feb2025 00:28:59.151] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=970, y=124, z=-402} BlockPos{x=969, y=125, z=-402}
[03Feb2025 00:28:59.202] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=970, y=124, z=-402} BlockPos{x=969, y=125, z=-402}
[03Feb2025 00:28:59.254] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=970, y=124, z=-402} BlockPos{x=969, y=125, z=-402}
[03Feb2025 00:28:59.292] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=970, y=124, z=-402} BlockPos{x=969, y=125, z=-402}
[03Feb2025 00:29:29.146] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=961, y=122, z=-397} BlockPos{x=961, y=121, z=-396}
[03Feb2025 00:29:30.447] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=958, y=122, z=-400} BlockPos{x=959, y=121, z=-396}
[03Feb2025 00:29:30.498] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=957, y=122, z=-400} BlockPos{x=959, y=121, z=-396}
[03Feb2025 00:29:30.549] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=957, y=122, z=-400} BlockPos{x=959, y=121, z=-396}
[03Feb2025 00:29:32.559] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=957, y=121, z=-400} BlockPos{x=958, y=120, z=-396}
[03Feb2025 00:29:32.599] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=957, y=121, z=-400} BlockPos{x=958, y=120, z=-396}
[03Feb2025 00:29:32.651] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=957, y=121, z=-400} BlockPos{x=958, y=120, z=-396}
[03Feb2025 00:50:53.641] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=976, y=123, z=-358} BlockPos{x=976, y=122, z=-358}
[03Feb2025 00:51:03.189] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=979, y=127, z=-366} BlockPos{x=979, y=124, z=-367}
[03Feb2025 00:56:45.147] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [STRANJO: Teleported STRANJO to 839.500000, 112.500000, -424.500000]
[03Feb2025 01:17:42.118] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=156, z=-443} BlockPos{x=921, y=157, z=-445}
[03Feb2025 01:17:42.169] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=156, z=-443} BlockPos{x=921, y=157, z=-445}
[03Feb2025 01:17:42.219] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=156, z=-443} BlockPos{x=921, y=157, z=-445}
[03Feb2025 01:17:42.271] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=156, z=-443} BlockPos{x=921, y=157, z=-445}
[03Feb2025 01:17:42.321] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=156, z=-443} BlockPos{x=921, y=157, z=-445}
[03Feb2025 01:17:42.371] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=924, y=156, z=-443} BlockPos{x=921, y=157, z=-445}
[03Feb2025 01:20:09.188] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=935, y=146, z=-456} BlockPos{x=934, y=145, z=-455}
[03Feb2025 01:20:09.239] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=935, y=146, z=-456} BlockPos{x=934, y=145, z=-455}
[03Feb2025 01:20:09.261] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=935, y=146, z=-456} BlockPos{x=934, y=145, z=-455}
[03Feb2025 01:20:09.311] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=935, y=146, z=-456} BlockPos{x=934, y=145, z=-455}
[03Feb2025 01:20:09.361] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=935, y=146, z=-456} BlockPos{x=934, y=145, z=-455}
[03Feb2025 01:20:11.219] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=934, y=143, z=-455} BlockPos{x=935, y=143, z=-455}
[03Feb2025 01:20:11.270] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=934, y=143, z=-455} BlockPos{x=935, y=143, z=-455}
[03Feb2025 01:23:06.966] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=911, y=156, z=-437} BlockPos{x=911, y=157, z=-438}
[03Feb2025 01:23:07.017] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=911, y=156, z=-437} BlockPos{x=911, y=157, z=-438}
[03Feb2025 01:23:07.067] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=911, y=156, z=-437} BlockPos{x=911, y=157, z=-438}
